"Artist and Title","Days","Pk","(x?)","Total","Today"
"Pashanim - Airwaves","118","37","","952,301","362"
"Скриптонит & Райда - Baby mama","252","109","","950,679","0"
"BLANCO & Sfera Ebbasta - MI FAI IMPAZZIRE","224","83","","950,238","0"
"Luciano & RAF Camora - All Night","242","25","","949,580","0"
"V & Park Hyo Shin - Winter Ahead","342","77","","947,731","27"
"Werenoi & GIMS - Piano","315","32","","947,226","1,145"
"Скриптонит - Танцуй сама","220","118","","946,110","0"
"Jaxomy, Agatino Romero & Raffaella Carrà - Pedro","160","16","","945,027","0"
"Purple Disco Machine & Kungs - Substitution","208","21","","943,806","0"
"Zoe Wees - Girls Like Us","193","33","","943,451","0"
"Darlene Love - Christmas","183","15","","942,885","0"
"Gazo - HAINE&SEX","176","37","","941,215","0"
"ANNA ASTI & Филипп Киркоров - Хобби","264","92","","937,734","0"
"Elton John & Britney Spears - Hold Me Closer","120","2","(x2)","936,459","0"
"NЮ - Никто","216","81","","934,174","113"
"Arctic Monkeys - Do I Wanna Know","7","180","","933,851","166"
"Jaymes Young - Infinity","222","22","","930,840","0"
"Booba - Mona Lisa","236","33","","930,432","0"
"Billie Eilish - THE GREATEST","201","10","","929,972","0"
"Khalid & Normani - Love Lies","184","30","","929,718","0"
"Sam Smith - Diamonds","152","12","","927,723","0"
"Bad Bunny - WHERE SHE GOES","205","8","","927,248","264"
"Olivia Rodrigo - traitor","163","13","","926,923","0"
"Lil Tecca - Ransom","125","14","","926,857","0"
"Lil Dicky - Freaky Friday","140","20","","925,614","0"
"NILETTO - Любимка","260","69","","923,938","0"
"Billie Eilish - all the good girls go to hell","143","3","(x5)","923,622","0"
"L2B - Pélican","252","46","","923,618","1,003"
"Joel Corry & Jax Jones - OUT OUT","174","18","","922,310","0"
"Coolio - Gangsta's Paradise","60","4","","922,174","105"
"Alesso & Zara Larsson - Words","186","23","","921,466","0"
"PASHANIM - Ms. Jackson","235","32","","920,385","0"
"Lewis Capaldi - Hold Me While You Wait","237","49","","920,073","0"
"Aya Nakamura - Jolie nana","224","29","","919,852","0"
"Olivia Dean - Nice To Each Other","269","34","","919,453","2,611"
"Fleetwood Mac - Everywhere","31","96","","919,307","811"
"Doja Cat - Streets","121","7","","918,749","0"
"RnBoi - MON BÉBÉ","189","24","","917,434","4,400"
"Jax Jones, Martin Solveig & Madison Beer - All Day and Night","153","19","","917,255","0"
"A.V.G & MACAN - Спой","269","61","","915,934","18"
"Ramz - Barking","205","45","","913,409","0"
"KAROL G & Shakira - TQG","182","34","","912,482","304"
"Icegergert & SKY RAE - Наследство","322","55","","912,244","1,115"
"Daddy Yankee - Dura","218","33","","911,676","0"
"Tate McRae - Revolving door","155","7","","911,065","0"
"Ninho - Eurostar","195","31","","909,620","0"
"THE SCOTTS, Travis Scott & Kid Cudi - THE SCOTTS","91","3","(x4)","908,610","0"
"Cardi B - Up","119","7","","908,587","0"
"Måneskin - SUPERMODEL","163","11","","907,045","0"
"Charli xcx & Billie Eilish - Guess","108","2","(x3)","902,630","0"
"Ninho & Niska - Coco","200","38","","902,209","515"
"Dadju & Tayc - I love you","222","32","","902,206","0"
"Benson Boone - Mystical Magical","207","19","","900,585","123"
"Lost Frequencies & Zonderling - Crazy","246","35","","897,901","0"
"Xcho & MACAN - Memories","58","96","","897,556","19"
"Chris Brown & Young Thug - Go Crazy","202","30","","896,219","0"
"Rammstein - DEUTSCHLAND","153","13","","894,478","28"
"Geolier - CHIAGNE","152","90","","893,619","0"
"Lana Del Rey - Summertime Sadness","66","100","","893,270","432"
"Capo Plaza - Capri Sun","204","96","","892,579","369"
"J Balvin, Dua Lipa, Bad Bunny & Tainy - UN DIA","181","21","","890,257","0"
"Kygo & Imagine Dragons - Born to Be Yours","143","14","","889,827","0"
"Drake - Signs","118","14","","889,797","0"
"Bouss - Ça parle mal","232","56","","888,420","269"
"Nicki Minaj & Ice Spice - Barbie World","101","2","(x2)","887,513","0"
"GAULOIS - Jolie","279","38","","884,542","0"
"Kygo & Miguel - Remind Me to Forget","172","24","","882,318","0"
"Sabrina Carpenter - Bed Chem","255","27","","881,723","0"
"Cesare Cremonini - Ora che non ho più te","280","89","","880,726","395"
"Travis Scott & HVME - Goosebumps","179","21","","877,618","0"
"Surfaces - Sunday Best","150","23","","877,583","0"
"CHRYSTAL & NOTION - The Days","226","28","","876,984","0"
"Oxlade - KU LO SA - A COLORS SHOW","141","8","","876,318","0"
"Kendrick Lamar - tv off","135","3","(x1)","876,047","0"
"Harry Styles - Aperture","99","2","(x6)","874,264","2,007"
"Miyagi & Andy Panda - Kosandra","106","78","","874,128","4"
"Ava Max - My Head & My Heart","170","17","","872,728","0"
"Eminem - Lucky You","90","2","(x8)","872,303","0"
"Martin Garrix - Ocean","139","12","","870,119","0"
"SIENNA SPIRO - Die On This Hill","170","16","","869,452","2,068"
"Robin Schulz & Dennis Lloyd - Young Right Now","272","42","","869,326","0"
"Taylor Swift - I Can Do It With a Broken Heart","160","6","","869,320","0"
"Jakone - Дорога дальняя","177","93","","866,386","240"
"Kungs - Never Going Home","158","23","","866,136","0"
"The Weeknd - Heartless","125","4","","866,132","87"
"Lazza - 100 MESSAGGI","199","57","","865,768","193"
"James Arthur - Naked","133","19","","864,658","0"
"Korol I Shut - Кукла колдуна","173","117","","862,583","649"
"Rag'n'Bone Man - Human","217","43","","862,128","0"
"Miksu / Macloud & T-Low - Sehnsucht","210","32","","862,004","0"
"Werenoi - Poney","328","30","","861,505","1,275"
"The Weeknd - I Feel It Coming","161","44","","860,783","0"
"Rihanna - We Found Love","92","16","","860,442","533"
"Sia & David Guetta - Floating Through Space","212","36","","860,000","0"
"Billie Eilish - wish you were gay","103","6","","859,717","0"
"Gracie Abrams - I Love You, I'm Sorry","190","19","","858,052","0"
"Britney Spears - My Only Wish","189","26","","857,658","0"
"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast - Takedown","117","9","","857,422","0"
"Camila Cabello - My Oh My","147","19","","856,867","0"
"Jul - Il pleut des balles","121","55","","855,909","858"
"Taylor Swift - willow","100","1","(x2)","854,727","0"
"Ava Max - So Am I","165","18","","853,925","0"
"Kygo & Ava Max - Whatever","205","20","","853,767","0"
"Camila Cabello - Never Be the Same","152","13","","853,614","0"
"VIZE & Tom Gregory - Never Let Me Down","225","43","","852,763","0"
"Central Cee & Lil Baby - BAND4BAND","115","8","","852,006","0"
"Drake - Massive","99","3","(x2)","848,554","0"
"Bonez MC & Raf Camora - Ohne mein Team","3","191","","845,716","0"
"Apache 207 - Bläulich","194","31","","844,414","0"
"Dadju - Bob Marley","250","59","","841,379","0"
"YG Marley - Praise Jah In the Moonlight","109","6","","841,049","0"
"Myles Smith - Nice To Meet You","212","25","","841,027","0"
"Alleh & Yorghaki - capaz","224","77","","840,653","537"
"Khalid - Talk","177","25","","840,304","0"
"Geolier - IL MALE CHE MI FAI","187","96","","838,820","158"
"Shirin David - Bauch Beine Po","202","32","","838,678","0"
"AYLIVA - Sie weiß","210","28","","838,627","0"
"Tom Grennan - Little Bit of Love","260","48","","838,367","0"
"Coldplay - Christmas Lights","204","16","","838,345","0"
"Bad Bunny & ROSALÍA - LA NOCHE DE ANOCHE","71","59","","836,917","893"
"Maes - Dybala","219","42","","836,641","0"
"George Ezra - Paradise","186","52","","834,570","0"
"Jason Derulo & David Guetta - Goodbye","124","16","","833,846","0"
"R2 - RUINART","218","33","","833,610","1,026"
"Heuss L'enfoiré - Saiyan","218","40","","831,777","0"
"LINKIN PARK - Heavy Is the Crown","129","6","","831,331","0"
"Drake & 21 Savage - Rich Flex","115","1","(x4)","831,024","0"
"Hugh Jackman, Keala Settle, Zac Efron, Zendaya & The Greatest Showman Ensemble - The Greatest Show","149","52","","828,224","0"
"Sam Fender - Seventeen Going Under","138","109","","827,133","0"
"Imagine Dragons - Follow You","198","26","","826,006","0"
"Zoe Wees - Control","252","37","","825,450","0"
"Fred De Palma - Una volta ancora","200","86","","824,966","0"
"Robin Schulz - Speechless","202","37","","824,439","0"
"XOLIDAYBOY - Мания","94","131","","822,647","165"
"Tiësto, Jonas Blue & Rita Ora - Ritual","158","22","","822,121","0"
"Leto - Macaroni","105","38","","820,210","268"
"Jorja Smith - Be Honest","185","28","","819,774","0"
"Dadju - Reine","198","51","","819,482","0"
"Shawn Mendes - Wonder","126","14","","817,405","0"
"Young Thug - The London","131","9","","816,189","0"
"reezy - SABÍA QUE NO","234","34","","815,882","431"
"Drake - NOKIA","143","15","","814,685","0"
"Imagine Dragons - Bones","199","28","","814,433","0"
"Rauw Alejandro - Todo De Ti","155","52","","813,105","178"
"Drake - Jimmy Cooks","129","5","","812,673","41"
"SDM & Hamza - TOKA","214","35","","811,301","116"
"Dermot Kennedy - Outnumbered","175","39","","810,514","0"
"Sigala & Paloma Faith - Lullaby","161","30","","809,487","0"
"ZEG P - FADE UP","188","31","","808,813","0"
"blackbear - hot girl bummer","146","15","","808,785","0"
"Bonez MC - Angeklagt","137","33","","807,962","0"
"Niska - Médicament","213","45","","807,238","0"
"David Guetta & OneRepublic - I Don't Wanna Wait","175","28","","807,185","0"
"Гуф & Murovei - Ураган","83","112","","806,582","0"
"Khalid - Better","155","26","","806,045","0"
"Леша Свик - Малиновый свет","237","108","","805,631","0"
"Мальбэк - Гипнозы","229","86","","802,819","0"
"Три дня дождя - Отпускай","69","133","","801,773","0"
"Ramil' - Сон","136","61","","801,442","0"
"T-Fest - Улети","226","73","","801,396","0"
"Ali Gatie - It's You","148","22","","800,307","0"
"Ninho - Putana","137","56","","799,854","0"
"Favé - Flashback","217","30","","799,802","0"
"Justin Bieber - Hold On","90","2","(x4)","799,384","0"
"Bleu Soleil & LUIZA - Soleil Bleu","201","32","","799,035","1,091"
"Taylor Swift - Elizabeth Taylor","80","2","(x2)","797,251","139"
"Rudimental - Sun Comes Up","151","29","","797,034","0"
"SZA - Snooze","119","58","","796,881","21"
"MATRANG - Медуза","216","75","","796,308","0"
"Juju - Vermissen","162","36","","796,243","0"
"Marshmello - Here With Me","122","16","","793,815","0"
"Lady Gaga - Bloody Mary","119","10","","793,708","0"
"George Ezra - Green Green Grass","266","41","","792,317","0"
"BLANCO - Notti In Bianco","224","96","","789,492","0"
"Soolking & Niska - Balader","225","36","","788,605","0"
"Akmal' - Из-за тебя","101","76","","788,109","295"
"Gazo - NANANI NANANA","141","34","","787,721","260"
"Drake - Fair Trade","73","6","","786,941","427"
"Radiohead - Creep","241","46","","785,878","913"
"Gazo - MAUVAIS 2X","269","37","","785,858","0"
"Basta & Zivert - неболей","--","224","","785,330","0"
"Katy Perry - Never Really Over","98","4","","782,148","0"
"Gradur - Ne reviens pas","189","30","","781,771","0"
"The Chainsmokers - Sick Boy","122","22","","780,231","0"
"Rose Villain - COME UN TUONO","213","76","","778,331","112"
"Maes - Fetty Wap","185","44","","776,523","140"
"James Arthur - Train Wreck","140","24","","776,492","0"
"Miyagi & Andy Panda - Brooklyn","20","111","","775,100","5"
"Little Mix - Woman Like Me","107","8","","774,923","0"
"The Limba & Andro - X.O","167","66","","773,852","0"
"Ozuna - Se Preparó","--","218","","772,918","428"
"BlocBoy JB - Look Alive","109","21","","771,255","0"
"Eartha Kitt - Santa Baby","169","7","","770,608","0"
"Guè - Brivido","16","158","","770,586","866"
"Lazza & Sfera Ebbasta - PIOVE","68","82","","770,301","243"
"Drake - Way 2 Sexy","84","5","","768,341","12"
"Ray Dalton & Alvaro Soler - Manila","231","33","","767,004","0"
"Maes - Distant","189","41","","764,980","0"
"Lil Uzi Vert - XO TOUR Llif3","155","40","","763,500","0"
"Pinguini Tattici Nucleari - Giovani Wannabe","216","91","","762,714","0"
"Ofenbach - Be Mine","135","30","","761,758","0"
"CKay - Emiliana","237","29","","761,415","0"
"NILETTO, Oleg Miami & Lesha Svik - Не вспоминай","272","74","","761,353","0"
"AYLIVA - Hässlich","188","33","","760,132","0"
"Migos - Walk It Talk It","137","5","","760,045","0"
"Dermot Kennedy - Kiss Me","232","31","","759,588","0"
"Burna Boy - For My Hand","175","22","","758,889","0"
"Aya Nakamura - 40%","218","50","","758,494","0"
"Bing Crosby - White Christmas","168","18","","756,407","0"
"Бонд с кнопкой - Кухни","265","51","","756,280","861"
"Nicky Youre & Dazy - Sunroof","173","29","","755,159","0"
"Taylor Swift - ME","89","3","(x8)","754,981","0"
"Carbonne - Imagine","173","38","","753,841","0"
"S1mba - Rover","177","29","","750,989","0"
"Lukas Graham - Love Someone","199","37","","750,947","0"
"Taylor Swift - Shake It Off","113","11","","750,677","0"
"Ваня Дмитриенко - Шёлк","273","52","","750,461","2,013"
"Элджей - Минимал","232","96","","749,676","0"
"James Hype - More Than Friends","236","59","","748,921","0"
"Lazza - MOLOTOV","107","103","","748,818","0"
"MACAN & SCIRENA - IVL","171","67","","748,307","10"
"Dua Lipa - We're Good","120","10","","746,691","0"
"Travis Scott - STARGAZING","74","2","(x3)","746,644","0"
"AC/DC - Thunderstruck","1","184","","745,811","664"
"DJ Robin & Schürze - Layla","166","27","","744,684","0"
"Werenoi - Ciao","130","36","","744,533","293"
"Pinguini Tattici Nucleari - Ridere","--","227","","743,475","127"
"Maes - Blanche","217","38","","742,547","0"
"LA Vision & Gigi D'Agostino - Hollywood","157","40","","742,233","0"
"Timal & Gazo - Filtré","226","39","","741,681","0"
"Miyagi & Эндшпиль - In Love","152","102","","740,668","30"
"Eliza Rose & Interplanetary Criminal - B.O.T.A.","165","18","","739,717","0"
"Sam Fender & Olivia Dean - Rein Me In","241","42","","738,885","4,139"
"Stormzy - Vossi Bop","158","29","","738,715","0"
"Shawn Mendes - When You're Gone","160","11","","736,688","0"
"Camila Cabello - Liar","143","19","","735,759","0"
"21 Savage - redrum","89","3","(x1)","735,675","0"
"Wallem - Харизма","192","66","","735,595","0"
"Dua Lipa - Illusion","134","8","","735,487","0"
"Summer Cem & Bausa - Casanova","159","47","","735,076","0"
"Megan Thee Stallion - Savage","90","10","","735,003","0"
"Maluma - Felices los 4","204","60","","734,511","0"
"Jul - Sous la lune","217","43","","734,020","568"
"Summer Cem - Tamam Tamam","176","61","","733,958","0"
"Salmo - IL CIELO NELLA STANZA","173","101","","733,715","0"
"Dua Lipa - Love Again","173","23","","733,312","6"
"HATIK - Angela","177","50","","733,280","0"
"Navai & MONA - Есенин","124","151","","732,872","375"
"Joé Dwèt Filé - 4 Kampé","196","42","","732,740","101"
"Lil Tjay & 6LACK - Calling My Phone","99","5","","732,141","0"
"Mary Gu - Не влюбляйся","156","85","","732,032","0"
"Jimin - Be Mine","241","104","","730,981","70"
"Raf Camora - Primo","170","43","","730,407","0"
"Post Malone - Congratulations","214","52","","730,000","0"
"Nico Santos - Rooftop","193","45","","728,760","0"
"The Police - Every Breath You Take","133","20","","728,555","2,799"
"Тима Белорусских - Витаминка","183","75","","728,539","0"
"Future - Mask Off","148","27","","727,840","0"
"Shawn Mendes - Youth","87","8","","726,990","0"
"MACAN - Без названия","51","99","","724,281","60"
"Black Eyed Peas & J Balvin - RITMO","139","26","","724,143","0"
"Future - WAIT FOR U","115","7","","723,798","8"
"KAMRAD - I Believe","224","55","","723,029","0"
"Takagi & Ketra - Amore e Capoeira","194","63","","722,761","0"
"Slade - Merry Xmas Everybody","211","41","","722,311","0"
"Switch Disco & Ella Henderson - REACT","198","42","","720,936","0"
"Coldplay, Little Simz, Burna Boy, Elyanna & TINI - WE PRAY","128","5","","720,067","0"
"Nono La Grinta - Paris","214","41","","720,035","1,149"
"Burna Boy - City Boys","129","15","","717,798","0"
"Miyagi & Эндшпиль - Люби меня","--","308","","717,305","20"
"Coldplay - Fix You","42","42","","716,872","0"
"MACE, BLANCO & Salmo - LA CANZONE NOSTRA","127","101","","716,042","0"
"The Weeknd - Sacrifice","77","1","(x5)","715,437","0"
"Guy2Bezbar - Monaco","177","50","","715,275","281"
"Miksu / Macloud & makko - Nachts wach","156","28","","714,839","0"
"Bad Bunny & Jhayco - DÁKITI","96","11","","714,634","2,633"
"Shane Codd - Get Out My Head","186","50","","714,020","0"
"MORGENSHTERN - Последняя Любовь","148","56","","713,917","0"
"Jonasu - Black Magic","147","55","","713,813","0"
"The Carters - APESHIT","87","4","","713,409","0"
"Capital Bra - Melodien","171","46","","712,913","0"
"Maggie Lindemann - Pretty Girl","100","32","","712,032","0"
"KeBlack - Boucan","154","47","","711,380","0"
"Bad Bunny & Chencho Corleone - Me Porto Bonito","34","40","","711,155","694"
"Dadju - Grand bain","161","46","","710,955","0"
"Ernia - Superclassico","210","112","","710,655","0"
"Robin Schulz & Wes - Alane","134","25","","710,135","0"
"Jain - Makeba","115","6","","709,781","0"
"Tate McRae - exes","147","10","","709,747","0"
"Marracash & Guè - ∞ LOVE","109","92","","709,432","0"
"MONA - Иордан","283","77","","708,919","1,244"
"Marracash - CRAZY LOVE","88","102","","707,714","225"
"Lomepal - Trop beau","155","44","","707,648","0"
"Lauv & Troye Sivan - i'm so tired...","145","24","","707,217","0"
"Samra & Capital Bra - Wieder Lila","119","27","","707,121","0"
"AVA, ANNA & Capo Plaza - VETRI NERI","203","84","","706,610","0"
"Drillionaire, Lazza & BLANCO - BON TON","218","81","","706,594","0"
"Zac Efron & Zendaya - Rewrite the Stars","113","55","","706,253","0"
"Nono La Grinta - LOVE YOU","181","37","","705,984","3,371"
"Bad Bunny & Bomba Estéreo - Ojitos Lindos","3","177","","704,986","658"
"Gazzelle - Destri","157","107","","704,397","0"
"AY YOLA - Homay","226","58","","704,228","597"
"Ziv Zaifman, Hugh Jackman & Michelle Williams - A Million Dreams","120","64","","703,289","0"
"5UTRA - Давай сбежим","287","70","","703,021","0"
"MONA & MACAN - Город дорог","171","79","","702,807","209"
"Niska - Salé","163","47","","702,323","0"
"Young T & Bugsey - Don't Rush","179","41","","701,516","0"
"Dadju - Jaloux","146","49","","701,445","0"
"Dermot Kennedy - Giants","123","37","","700,129","0"
"Lauv - I Like Me Better","193","48","","699,736","0"
"Martin Garrix - Summer Days","146","27","","699,423","0"
"GAYAZOV$ BROTHER$ - Увезите меня на Дип-хаус","166","66","","698,342","0"
"Sido - Tausend Tattoos","141","34","","696,744","0"
"Ваня Дмитриенко - Венера-Юпитер","137","69","","696,363","218"
"Khalid & Disclosure - Know Your Worth","155","25","","696,301","0"
"Dominic Fike - Babydoll","74","8","","694,645","9,802"
"CNCO & Little Mix - Reggaetón Lento","108","29","","693,777","0"
"Султан Лагучев - Горький вкус","142","76","","692,224","0"
"¥$, Kanye West & Ty Dolla $ign - CARNIVAL","69","4","","691,190","0"
"KeBlack - Mood","189","43","","690,921","182"
"CamelPhat & Elderbrook - Cola","151","48","","690,810","0"
"David Guetta - Don't Leave Me Alone","92","15","","688,507","0"
"Mahmood - Soldi","153","7","","687,885","0"
"Мальбэк - Равнодушие","162","94","","687,729","0"
"Mahmood & BLANCO - Brividi","142","28","","687,690","0"
"Joel Corry - Lonely","176","41","","687,114","0"
"Wes Nelson & Yxng Bane - Nice To Meet Ya","157","21","","686,236","0"
"Maluma - Hawái","143","57","","685,591","0"
"Eminem - The Real Slim Shady","105","75","","685,528","0"
"Harry Styles - Lights Up","98","6","","684,531","0"
"Finesse - Gelosa","237","99","","684,515","0"
"Naps - 6.3","183","41","","684,404","129"
"Zola - Amber","183","28","","684,274","0"
"Chris Brown - Questions","117","28","","684,162","0"
"Damso - Impardonnable","171","24","","683,510","150"
"Polo G - RAPSTAR","101","7","","683,453","0"
"MARKUL & Oxxxymiron - Fata Morgana","224","78","","683,298","0"
"Lazza & Takagi & Ketra - PANICO","117","110","","682,247","0"
"Feid & ATL Jacob - LUNA","--","203","","682,149","201"
"MERO - Baller los","139","32","","681,525","0"
"Tiakola - Atasanté","127","31","","681,212","0"
"Queen - Another One Bites the Dust","28","74","","681,178","71"
"XOLIDAYBOY - Океаны","29","150","","681,120","305"
"BLANCO - Finché Non Mi Seppelliscono","234","103","","680,524","0"
"Zara Larsson - Can't Tame Her","189","35","","680,422","156"
"Lil Mosey - Blueberry Faygo","135","26","","679,923","0"
"SHAED & ZAYN - Trampoline","179","33","","679,677","0"
"Ellie Goulding, Diplo & Swae Lee - Close to Me","128","26","","678,668","0"
"Werenoi - Maudit","183","31","","678,533","0"
"GIMS - AIR FORCE BLANCHE","180","31","","678,360","474"
"KAZKA - ПЛАКАЛА","185","72","","678,082","0"
"Coi Leray - Players","133","18","","677,342","0"
"KeBlack - LAISSE MOI","221","35","","677,184","0"
"Lauren Spencer-Smith - Fingers Crossed","120","12","","676,071","0"
"Capo Plaza - Tesla","203","100","","674,844","0"
"RAF Camora & Luciano - 2CB","99","33","","674,574","0"
"Taylor Swift - Blank Space","125","5","","674,222","0"
"Dabro - Юность","206","84","","673,551","0"
"John Legend - All of Me","7","82","","672,762","0"
"Stromae - L’enfer","126","16","","672,383","0"
"Capital Bra - One Night Stand","127","43","","672,234","0"
"Luude - Down Under","160","22","","671,356","0"
"AJ Tracey - Ladbroke Grove","120","93","","671,029","0"
"Sfera Ebbasta & Shiva - NEON","232","66","","670,681","849"
"Benji & Fede - Dove e quando","163","76","","670,391","0"
"Rauw Alejandro - DILUVIO","--","248","","669,908","485"
"Bramsito - Sale mood","155","57","","669,848","0"
"Koba LaD & Gazo - Daddy chocolat","144","46","","669,765","0"
"GAYAZOV$ BROTHER$ - До встречи на танцполе","171","90","","669,574","0"
"Ninho - Zipette","125","42","","669,118","0"
"Victor Leksell - Svag","--","230","","668,661","49"
"Jonas Brothers - Like It's Christmas","159","29","","668,488","0"
"Taylor Swift - Down Bad","97","3","(x2)","668,331","0"
"Sonny Fodera & MK - Asking","252","62","","667,892","0"
"Billie Eilish - Your Power","89","3","(x6)","667,120","0"
"Damso - Γ. Mosaïque solitaire","50","96","","666,544","224"
"Dua Lipa - Be the One","26","146","","665,949","410"
"Damso & Kalash - Alpha","148","39","","665,283","0"
"Marshmello & Halsey - Be Kind","125","24","","664,068","0"
"James Arthur & Anne-Marie - Rewrite the Stars","108","17","","663,617","0"
"Женя Трофимов & Комната культуры - Привет","132","126","","663,105","785"
"Taylor Swift - Lavender Haze","94","3","(x2)","662,977","0"
"Kings of Leon - Sex on Fire","--","278","","662,857","649"
"Marco Borsato, Armin van Buuren & Davina Michelle - Hoe Het Danst","160","116","","662,263","0"
"Big Baby Tape & kizaru - Million","197","67","","661,562","0"
"Alex Warren - Eternity","172","9","","661,076","123"
"АИГЕЛ - Пыяла","187","47","","660,965","0"
"Alan Walker, Noah Cyrus & Digital Farm Animals - All Falls Down","171","49","","660,905","0"
"Jul - Namek","91","48","","659,291","480"
"Apache 207 - Fame","126","37","","658,928","0"
"Gazo - CELINE 3X","174","38","","658,826","0"
"Fousheé - Deep End","146","24","","658,741","0"
"Drake - Girls Want Girls","85","4","","658,643","5"
"Bad Bunny - EoO","115","7","","657,729","321"
"Martin Garrix & Troye Sivan - There For You","105","20","","657,072","0"
"Tayc - Le temps","179","33","","656,945","0"
"Justin Bieber - YUKON","136","11","","655,479","2,686"
"Carolina Gaitán - La Gaita, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto - Cast - We Don't Talk About Bruno","124","16","","654,907","0"
"Taylor Swift - Style","151","2","(x1)","653,420","0"
"Katy Perry - Swish Swish","142","30","","653,080","0"
"Ultimo - Pianeti","27","161","","652,002","0"
"David Guetta - Memories","73","82","","649,605","2,416"
"Hailee Steinfeld & Alesso - Let Me Go","169","41","","649,047","0"
"Alonzo - La Seleçao","173","36","","648,588","0"
"Gambi - Popopop","153","31","","648,173","0"
"HammAli & Navai - А если это любовь","122","75","","647,472","13"
"Ed Sheeran - Take Me Back to London","130","15","","646,536","0"
"Nat ""King"" Cole - The Christmas Song","144","15","","643,115","0"
"KitschKrieg - Standard","148","48","","642,909","0"
"Koba LaD & Naps - Doudou","204","57","","642,708","0"
"Lazza - USCITO DI GALERA","228","94","","642,322","0"
"Vegedream - Elle est bonne sa mère","162","51","","642,253","0"
"Martin Solveig - All Stars","151","45","","642,157","0"
"PNL - Au DD","121","31","","640,783","0"
"Jul - Phénoménal","160","37","","640,092","851"
"Dove Cameron - Boyfriend","90","8","","639,757","0"
"Feduk - Моряк","192","82","","639,366","0"
"Wizzard - I Wish It Could Be Christmas Everyday","217","73","","639,346","0"
"KeBlack - Melrose Place","165","46","","639,313","324"
"Rhove - Shakerando","197","65","","638,728","0"
"David Guetta, Martin Garrix & Brooks - Like I Do","120","30","","638,679","0"
"Bad Bunny - MONACO","121","13","","638,122","33"
"Моя Мишель - Зима в сердце","34","103","","636,195","205"
"Marracash - CRUDELIA - I nervi","2","163","","635,236","416"
"Niska - Adriano","160","41","","634,182","373"
"Shablo, Geolier & Sfera Ebbasta - M' manc","139","101","","632,826","0"
"DripReport - Skechers","114","23","","632,684","0"
"Taylor Swift - Is It Over Now","115","6","","632,302","0"
"Paul Woolford, Diplo & Kareen Lomax - Looking for Me","192","74","","631,894","0"
"Maes - Madrina","145","68","","631,256","0"
"Becky Hill & Topic - My Heart Goes","188","30","","631,075","0"
"10AGE - Пушка","122","78","","631,009","0"
"Aarne, BUSHIDO ZHO & ANIKV - Тесно","168","57","","630,930","0"
"Монеточка - Каждый раз","200","103","","630,551","0"
"Loren Allred - Never Enough","83","65","","630,477","0"
"Lady Gaga - The Dead Dance","80","3","(x9)","630,455","0"
"Joost - Europapa","163","12","","630,408","0"
"Viktor Sheen - Až na měsíc","--","517","","630,089","318"
"Future, Metro Boomin, Travis Scott & Playboi Carti - Type Shit","148","6","","630,052","0"
"Geolier & Ultimo - L'ULTIMA POESIA","114","67","","629,223","247"
"Ed Sheeran - 2step","145","17","","628,884","0"
"Burak Yeter - Tuesday","130","41","","628,883","0"
"Frank Sinatra - Let It Snow Let It Snow Let It Snow","158","13","","628,651","0"
"Sido & Apache 207 - 2002","108","32","","628,246","0"
"Loboda - SuperSTAR","162","90","","628,137","0"
"Franglish - My Salsa","111","56","","627,253","0"
"Charlie Puth - Light Switch","137","22","","627,210","0"
"Myke Towers - LALA","131","38","","626,041","0"
"Shouse & David Guetta - Love Tonight","112","26","","625,922","0"
"Dave - Starlight","105","10","","625,091","0"
"Tion Wayne X Russ Millions - Body","86","9","","624,460","0"
"Jamule - Liege wieder wach","127","31","","624,331","0"
"Calvin Harris & Sam Smith - Desire","120","20","","623,735","0"
"Naps - Best life","161","46","","623,659","0"
"Rumi, JINU, EJAE, Andrew Choi & KPop Demon Hunters Cast - Free","122","18","","623,468","0"
"Beéle - no tiene sentido","171","76","","623,327","851"
"Werenoi - Chemin d'or","99","68","","622,902","0"
"ROSALÍA, Björk & Yves Tumor - Berghain","76","3","(x7)","622,544","386"
"Ariana Grande & Social House - Boyfriend","78","5","","622,493","0"
"Ninho - Fendi","50","65","","621,197","0"
"Frank Sinatra - Santa Claus Is Comin' to Town","142","26","","620,583","0"
"Taylor Swift - Father Figure","55","4","","620,401","0"
"PinkPantheress & Ice Spice - Boy's a liar Pt. 2","53","2","(x17)","620,206","0"
"Marco Mengoni - Due Vite","122","27","","620,045","0"
"Future, Metro Boomin & Kendrick Lamar - Like That","96","3","(x4)","619,340","0"
"kizaru & Icegergert - Fake ID","212","55","","617,390","22"
"Dave & Tiakola - Meridian","140","27","","616,903","0"
"Maroon 5 & Megan Thee Stallion - Beautiful Mistakes","154","19","","616,178","0"
"Ninho & Ayra Starr - No love","115","39","","615,984","255"
"Gabry Ponte, LUM!X & Prezioso - Thunder","114","41","","615,708","0"
"Djadja & Dinaz - J'fais mes affaires","--","238","","615,150","614"
"Kaleo - Way Down We Go","161","60","","614,964","0"
"Zedd & Alessia Cara - Stay","106","35","","614,650","0"
"Aya Nakamura - La dot","142","46","","614,215","0"
"Баста - Выпускной","--","201","","614,195","0"
